Collection in Repository,Collection Number,Location in Collection,Object,Container Type,MastersName,Usage Rights,Date created,Date modified,Object number,AccessName,AccessFilePath,AccessFileSize,AccessSizeNum,MasterFilePath,MasterFileSize,MasterSizeNum
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 3. Other Materials, 1922-1949.","Folder 48: Conference material, 1933-1949 and undated: Scan 94",folder,03823_0048_0094.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2159,2501.jp2,Content/03823/image/2501.jp2,5428409 Bytes,5428409,bucket\03823_nccic\03823_0048\03823_0048_0094.tif,19571064 Bytes,19571064
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 45: Financial and legal materials, 1949: Scan 19",folder,03823_0045_0019.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2160,2259.jp2,Content/03823/image/2259.jp2,4592115 Bytes,4592115,bucket\03823_nccic\03823_0045\03823_0045_0019.tif,13174762 Bytes,13174762
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 40: Financial and legal materials, 1948: Scan 24",folder,03823_0040_0024.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2161,2466.jp2,Content/03823/image/2466.jp2,3911407 Bytes,3911407,bucket\03823_nccic\03823_0040\03823_0040_0024.tif,17581173 Bytes,17581173
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 3. Other Materials, 1922-1949.","Folder 48: Conference material, 1933-1949 and undated: Scan 51",folder,03823_0048_0051.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2162,2481.jp2,Content/03823/image/2481.jp2,2077599 Bytes,2077599,bucket\03823_nccic\03823_0048\03823_0048_0051.tif,8456527 Bytes,8456527
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 42: Financial and legal materials, 1948: Scan 17",folder,03823_0042_0017.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2163,2004.jp2,Content/03823/image/2004.jp2,431027 Bytes,431027,bucket\03823_nccic\03823_0042\03823_0042_0017.tif,1735255 Bytes,1735255
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 41: Financial and legal materials, 1948: Scan 22",folder,03823_0041_0022.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2164,2070.jp2,Content/03823/image/2070.jp2,4367690 Bytes,4367690,bucket\03823_nccic\03823_0041\03823_0041_0022.tif,12865000 Bytes,12865000
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 42: Financial and legal materials, 1948: Scan 23",folder,03823_0042_0023.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2165,2311.jp2,Content/03823/image/2311.jp2,4711749 Bytes,4711749,bucket\03823_nccic\03823_0042\03823_0042_0023.tif,13394375 Bytes,13394375
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 45: Financial and legal materials, 1949: Scan 86",folder,03823_0045_0086.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2166,2421.jp2,Content/03823/image/2421.jp2,6935409 Bytes,6935409,bucket\03823_nccic\03823_0045\03823_0045_0086.tif,16240620 Bytes,16240620
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 44: Financial and legal materials, 1948: Scan 21",folder,03823_0044_0021.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2167,2040.jp2,Content/03823/image/2040.jp2,3967035 Bytes,3967035,bucket\03823_nccic\03823_0044\03823_0044_0021.tif,12284291 Bytes,12284291
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 3. Other Materials, 1922-1949.","Folder 48: Conference material, 1933-1949 and undated: Scan 5",folder,03823_0048_0005.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2168,2377.jp2,Content/03823/image/2377.jp2,2252211 Bytes,2252211,bucket\03823_nccic\03823_0048\03823_0048_0005.tif,8486395 Bytes,8486395
