Collection in Repository	Collection Number	Location in Collection	Object	Container Type	filename	Title	Alternative Title	Creator	Contributor	Creation Date	Date	Description	Subject (tgm)	Subject - Name	Subject - Topical	Subject - Geographic	Subject Topical Other	Coordinates	geonamesid	Digital Collection	Repository	Host	Usage Rights	Copyright Holder	Additional Display	Transcription	Caption	Notes	Title Note	Contributor Note	Sponsor	Related Resource	Author Chief Source	Publisher	Place of Publication	Cataloging Agency	Is Part Of	Has Part Of	Form	Resource Type	Medium	Condition	Language	Physical Description of Analog Original	Creator Nationality/Culture	Style/Period	Volume/Issue	Scale	Projection	Map Type	Map Details	Current Location	path	Local Identifier	Creator Identifier	Date created	Date modified	Object number	Object file name
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 6: Correspondence, 1941: Scan 9	folder	03823_0006_0009.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	57	452.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 20: Correspondence, 1947-1948: Scan 6	folder	03823_0020_0006.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	58	8.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 11: Correspondence, 1944-May 1946: Scan 29	folder	03823_0011_0029.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	59	123.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 9: Correspondence, 1943: Scan 44	folder	03823_0009_0044.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	60	216.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 4: Correspondence, 1940: Scan 7	folder	03823_0004_0007.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	61	68.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 4: Correspondence, 1940: Scan 30	folder	03823_0004_0030.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	62	819.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 10: Correspondence, 1944-May 1946: Scan 38	folder	03823_0010_0038.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	63	920.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 9: Correspondence, 1943: Scan 51	folder	03823_0009_0051.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	64	837.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 16: Correspondence, 1947-1948: Scan 10	folder	03823_0016_0010.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	65	944.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 7: Correspondence, 1942: Scan 26	folder	03823_0007_0026.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	66	551.jp2
